dist_name,state_name,dist_code,lat,lon
Krishnagiri,Tamil Nadu,1080,12.5152075,78.0093769
Ashoknagar,Madhya Pradesh,1081,24.6186095,77.8786983
Burhanpur,Madhya Pradesh,1082,21.334867,76.3708803
Tapi,Gujarat,2001,21.1916567,73.5560631
Mewat,Haryana,2002,27.9935177,77.0419634
Palwal,Haryana,2003,28.0599426,77.3223422
Ramanagaram,Karnataka,2004,12.7210476,77.2837376
Chikkaballapur,Karnataka,2005,13.0993764,77.388729
Alirajpur,Madhya Pradesh,2006,22.2859525,74.3545628
Singrauli,Madhya Pradesh,2007,24.2431343,82.3827672
Taran Taran,Punjab,2009,31.6144868,74.8824052
Barnala,Punjab,2010,30.3716802,75.5039887
S.A.S Nagar,Punjab,2011,30.676694,76.7084883
Pratapgarh,Rajasthan,2012,24.0232221,74.6250275
Kasganj Khansi Ram Nagar,Uttar Pradesh,2013,,
Thiruppur,Tamil Nadu,2020,10.5538875,78.8480615
Khunti,Jharkhand,2023,22.9281801,85.2814475
Ramgadh,Jharkhand,2024,,
Yadagiri,Karnataka,2025,16.7745024,77.1270379
Amethi C.S.M.Nagar,Uttar Pradesh,2026,,
Sambhal,Uttar Pradesh,2031,28.4271928,78.5564546
Hapur,Uttar Pradesh,2033,28.7166767,77.890433
Baloda Bazar,Chhattisgarh,2035,21.5731848,82.2994821
Balrampur,Chhattisgarh,2036,23.6282576,83.4810916
Bemetra,Chhattisgarh,2037,,
Gariaband,Chhattisgarh,2038,20.4292147,82.2525584
Mungli,Chhattisgarh,2040,,
Fazilka,Punjab,2043,30.3198406,74.1217943
Aravalli,Gujarat,2050,23.4843216,73.3986096
Botad,Gujarat,2051,22.0467097,71.6689617
Chhota Udaipur,Gujarat,2052,22.2224345,73.7778749
Devbhoomi Dwarka,Gujarat,2053,22.2360155,68.9658698
Gir Somnath,Gujarat,2054,20.9298181,70.7627578
Mahi Sagar,Gujarat,2055,,
Morbi,Gujarat,2056,22.8003959,70.886232
Charkhi Dadri,Haryana,2057,28.6000997,76.1123707
Agar Malwa,Madhya Pradesh,2058,23.935092,76.1449595
Kumurambheem Asifabad,Telangana,2101,,
Nirmal,Telangana,2103,19.091521,78.396609
Jagityal,Telangana,2104,18.8249636,78.8788332
Peddapally,Telangana,2105,16.7999997,78.1012961
Rajanna Siricilla,Telangana,2106,,
Bhadradri,Telangana,2107,17.7166633,80.5712609
Jogulamba,Telangana,2108,16.0999202,77.7341584
Nagarkurnool,Telangana,2109,16.4157626,78.6830433
Wanaparthy,Telangana,2110,16.2852944,77.9864473
Sangareddy,Telangana,2111,17.8684342,77.8227189
Suryapet,Telangana,2113,17.0800139,79.792533
Yadadri Bhuvanagiri,Telangana,2114,17.4281967,79.090491
Vikarabad,Telangana,2117,17.2702855,77.745297
Jayashankar Bhuppaly,Telangana,2118,,
Mahabubabad,Telangana,2121,17.7138983,80.0413425
Narayanpet,Telangana,2122,16.7005518,77.6164845
Gaurela-Pendra-Marwahi?,Chhattisgarh,2130,22.8313186,81.958966
