dist_code,dist_name,state_name,year,rainfall_jun,rainfall_jul,rainfall_aug,rainfall_sep,rainfall_kharif,rainfall_annual
18,Rewa,Madhya Pradesh,1992,0.34,7.92,11.33,7.94,27.53,29.78
18,Rewa,Madhya Pradesh,1993,3.08,2.32,3.62,11.44,20.46,22.4
18,Rewa,Madhya Pradesh,1994,3.86,10.39,10.31,3.22,27.78,30.11
18,Rewa,Madhya Pradesh,1995,1.84,4.91,8.5,4.54,19.79,23.12
18,Rewa,Madhya Pradesh,1996,6.45,6.23,9.27,4.1,26.049999999999997,30.79
18,Rewa,Madhya Pradesh,1997,2.92,9.24,6.84,7.35,26.35,32.3
18,Rewa,Madhya Pradesh,1998,1.54,6.81,12.23,5.38,25.959999999999997,27.72
18,Rewa,Madhya Pradesh,1999,3.4,11.56,6.06,4.42,25.439999999999998,27.85
18,Rewa,Madhya Pradesh,2000,2.78,4.45,5.21,4.45,16.89,17.73
18,Rewa,Madhya Pradesh,2001,5.18,13.47,6.35,2.32,27.32,32.0
18,Rewa,Madhya Pradesh,2002,2.09,3.59,10.64,6.98,23.3,28.25
18,Rewa,Madhya Pradesh,2003,2.13,4.97,7.63,14.36,29.09,32.08
18,Rewa,Madhya Pradesh,2004,6.68,4.54,6.36,3.72,21.299999999999997,23.51
18,Rewa,Madhya Pradesh,2005,3.44,13.5,7.76,4.12,28.820000000000004,32.01
18,Rewa,Madhya Pradesh,2006,1.38,9.85,3.33,1.47,16.03,19.11
18,Rewa,Madhya Pradesh,2007,1.91,5.43,7.53,4.6,19.47,23.91
18,Rewa,Madhya Pradesh,2008,9.1,11.15,8.95,2.58,31.78,33.62
18,Rewa,Madhya Pradesh,2009,1.06,5.53,2.05,5.27,13.91,19.33
18,Rewa,Madhya Pradesh,2010,0.46,6.73,5.21,3.91,16.310000000000002,18.69
18,Rewa,Madhya Pradesh,2011,9.1,7.82,8.45,7.73,33.1,34.339999999999996
18,Rewa,Madhya Pradesh,2012,0.64,12.46,9.5,9.9,32.5,34.44
18,Rewa,Madhya Pradesh,2013,9.87,8.43,9.88,2.33,30.509999999999998,40.6
18,Rewa,Madhya Pradesh,2014,1.31,7.33,5.46,4.06,18.16,26.23
18,Rewa,Madhya Pradesh,2015,3.6,6.51,7.2,1.98,19.29,26.63
18,Rewa,Madhya Pradesh,2016,1.59,15.07,15.11,7.3,39.07,41.55
18,Rewa,Madhya Pradesh,2017,2.79,13.59,4.11,2.52,23.009999999999998,23.75
18,Rewa,Madhya Pradesh,2018,2.54,10.08,9.67,4.12,26.41,28.12
18,Rewa,Madhya Pradesh,2019,0.93,8.75,10.74,11.73,32.150000000000006,36.14
19,Sidhi,Madhya Pradesh,1990,9.44,11.02,9.28,9.14,38.88,44.31
19,Sidhi,Madhya Pradesh,1991,4.83,9.81,13.52,2.14,30.3,30.86
19,Sidhi,Madhya Pradesh,1992,1.57,9.14,12.72,8.46,31.89,34.2
19,Sidhi,Madhya Pradesh,1993,4.09,5.59,6.57,16.87,33.120000000000005,35.410000000000004
19,Sidhi,Madhya Pradesh,1994,6.93,12.68,13.25,5.01,37.87,40.75
19,Sidhi,Madhya Pradesh,1995,2.36,8.36,10.02,4.04,24.779999999999998,29.39
19,Sidhi,Madhya Pradesh,1996,5.69,8.09,10.42,3.45,27.650000000000002,32.77
19,Sidhi,Madhya Pradesh,1997,3.57,12.54,11.47,6.7,34.28,43.91
19,Sidhi,Madhya Pradesh,1998,1.73,7.66,10.18,7.79,27.36,31.9
19,Sidhi,Madhya Pradesh,1999,3.5,11.41,8.66,6.37,29.94,32.47
19,Sidhi,Madhya Pradesh,2000,4.66,6.75,4.67,4.5,20.58,22.15
19,Sidhi,Madhya Pradesh,2001,7.92,18.7,9.14,1.71,37.47,42.8
